ts,ms_played,track,artist,album,uri,UniqueID,track_uri
2015-10-31T14:07:02Z,199453,Here,Alessia Cara,Four Pink Walls,spotify:track:7IUF0dDdzguaFUwwA9BgDu,Alessia Cara:Here,7IUF0dDdzguaFUwwA9BgDu
2015-10-31T16:27:59Z,0,Bed Of Lies,Nicki Minaj,The Pinkprint,spotify:track:490r1lg2turCiWsPAAxVBP,Nicki Minaj:Bed Of Lies,490r1lg2turCiWsPAAxVBP
2015-10-31T16:29:34Z,58142,Hotline Bling,Drake,Hotline Bling,spotify:track:6nmz4imkDcmtwMjocAzFSx,Drake:Hotline Bling,6nmz4imkDcmtwMjocAzFSx
2015-10-31T16:29:42Z,4295,Twerk It Like Miley,Brandon Beal,Twerk It Like Miley,spotify:track:0FY9AcLViugf39tiIjVeEq,Brandon Beal:Twerk It Like Miley,0FY9AcLViugf39tiIjVeEq
2015-10-31T16:30:01Z,21408,No Games,Serani,No Games,spotify:track:7xDCVsKvHGerLqHeBwBvsA,Serani:No Games,7xDCVsKvHGerLqHeBwBvsA
2015-10-31T16:42:30Z,63924,Runaway,Kanye West,My Beautiful Dark Twisted Fantasy,spotify:track:3DK6m7It6Pw857FcQftMds,Kanye West:Runaway,3DK6m7It6Pw857FcQftMds
2015-10-31T16:43:25Z,26076,Stronger,Kanye West,Graduation,spotify:track:6C7RJEIUDqKkJRZVWdkfkH,Kanye West:Stronger,6C7RJEIUDqKkJRZVWdkfkH
2015-10-31T16:47:16Z,231506,I Am A God,Kanye West,Yeezus,spotify:track:0HMCdlOPJkAGlB0MlSWIcO,Kanye West:I Am A God,0HMCdlOPJkAGlB0MlSWIcO
2015-10-31T16:51:34Z,256093,New Slaves,Kanye West,Yeezus,spotify:track:4cAgkb0ifwn0FSHGXnr4F6,Kanye West:New Slaves,4cAgkb0ifwn0FSHGXnr4F6
2015-10-31T16:56:26Z,292093,POWER,Kanye West,My Beautiful Dark Twisted Fantasy,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,Kanye West:POWER,2gZUPNdnz5Y45eiGxpHGSc
2015-10-31T16:59:36Z,188013,Black Skinhead,Kanye West,Yeezus,spotify:track:722tgOgdIbNe3BEyLnejw4,Kanye West:Black Skinhead,722tgOgdIbNe3BEyLnejw4
2015-10-31T16:59:56Z,20200,Gold Digger,Kanye West,Late Registration,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,Kanye West:Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ
2015-10-31T17:03:06Z,188013,Black Skinhead,Kanye West,Yeezus,spotify:track:722tgOgdIbNe3BEyLnejw4,Kanye West:Black Skinhead,722tgOgdIbNe3BEyLnejw4
2015-10-31T17:03:20Z,13374,Gold Digger,Kanye West,Late Registration,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,Kanye West:Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ
2015-10-31T17:06:33Z,188013,Black Skinhead,Kanye West,Yeezus,spotify:track:722tgOgdIbNe3BEyLnejw4,Kanye West:Black Skinhead,722tgOgdIbNe3BEyLnejw4
2015-10-31T17:08:52Z,138458,I Am A God,Kanye West,Yeezus,spotify:track:0HMCdlOPJkAGlB0MlSWIcO,Kanye West:I Am A God,0HMCdlOPJkAGlB0MlSWIcO
2015-10-31T17:15:00Z,272998,Black Skinhead,Kanye West,Yeezus,spotify:track:722tgOgdIbNe3BEyLnejw4,Kanye West:Black Skinhead,722tgOgdIbNe3BEyLnejw4
2015-10-31T17:18:52Z,231506,I Am A God,Kanye West,Yeezus,spotify:track:0HMCdlOPJkAGlB0MlSWIcO,Kanye West:I Am A God,0HMCdlOPJkAGlB0MlSWIcO
2015-10-31T17:21:39Z,166121,Gold Digger,Kanye West,Late Registration,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,Kanye West:Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ
2015-10-31T17:21:40Z,464,I Am A God,Kanye West,Yeezus,spotify:track:0HMCdlOPJkAGlB0MlSWIcO,Kanye West:I Am A God,0HMCdlOPJkAGlB0MlSWIcO
2015-10-31T17:27:38Z,269769,Black Skinhead,Kanye West,Yeezus,spotify:track:722tgOgdIbNe3BEyLnejw4,Kanye West:Black Skinhead,722tgOgdIbNe3BEyLnejw4
